RandomScore,PlanScore,MCScore,,,r,p,m
0,2.960784314,3.65060241,,,,,
0.22,2.980769231,3.654761905,,,,,
0,3,3.658823529,,,,,
0,3.018518519,3.662790698,,,,,
0.11,3.036363636,3.666666667,,,,,
0,3.053571429,3.670454545,,,,,
0,3.070175439,3.674157303,,,,,
0,3.086206897,3.677777778,,,,,
1.5,3.101694915,3.681318681,,,,,
0,3.116666667,3.684782609,,,,,
1.102040816,3.131147541,3.688172043,,,,,
1.131313131,3.14516129,3.691489362,,,,,
1.16,3.158730159,3.694736842,,,,,
1.8,3.171875,3.697916667,,,,,
0.2,3.184615385,3.701030928,,,,,
2,3.196969697,3.704081633,,,,,
2.025641026,3.208955224,3.707070707,,,,,
2.050632911,3.220588235,3.71,,,,,
2.075,3.231884058,2.242424242,,,,,
2.098765432,3.242857143,2.268656716,,,,,
2.12195122,3.253521127,2.294117647,,,,,
2.144578313,3.263888889,2.31884058,,,,,
2.166666667,3.273972603,2.342857143,,,,,
2.188235294,3.283783784,2.366197183,,,,,
2.209302326,3.293333333,2.388888889,,,,,
2.229885057,3.302631579,2.410958904,,,,,
2.25,3.311688312,2.432432432,,,,,
2.269662921,3.320512821,2.453333333,,,,,
2.288888889,3.329113924,2.473684211,,,,,
2.307692308,3.3375,2.493506494,,,,,
2.326086957,3.345679012,2.512820513,,,,,
2.344086022,3.353658537,2.53164557,,,,,
2.361702128,3.361445783,2.55,,,,,
2.378947368,3.369047619,2.567901235,,,,,
2.395833333,3.376470588,2.585365854,,,,,
2.412371134,3.38372093,2.602409639,,,,,
2.428571429,3.390804598,2.619047619,,,,,
2.444444444,3.397727273,2.635294118,,,,,
2.46,3.404494382,2.651162791,,,,,
1.52,3.411111111,2.666666667,,,,,
0.14,3.417582418,2.681818182,,,,,
0,3.423913043,2.696629213,,,,,
1.259259259,3.430107527,2.711111111,,,,,
1.357142857,3.436170213,2.725274725,,,,,
1.448275862,3.442105263,2.739130435,,,,,
1.533333333,3.447916667,2.752688172,,,,,
1.612903226,3.453608247,2.765957447,,,,,
1.6875,3.459183673,2.778947368,,,,,
1.757575758,3.464646465,2.791666667,,,,,
1.823529412,3.47,2.804123711,,,,,
1.885714286,2,2.816326531,,,,,
1.944444444,0,2.828282828,,,,,
2,0,2.84,,,,,
2.052631579,0,0,,,,,
2.102564103,0.16,0,,,,,
2.15,0,0.52,,,,,
2.195121951,2.242424242,0,,,,,
2.238095238,2.26,2,,,,,
2.279069767,0.28,0.06,,,,,
2.318181818,0,2.376470588,,,,,
2.355555556,0.14,2.395348837,,,,,
2.391304348,0,2.413793103,,,,,
2.425531915,0.22,2.431818182,,,,,
2.458333333,0,2.449438202,,,,,
2.489795918,0,2.466666667,,,,,
2.52,0,2.483516484,,,,,
2.549019608,0,2.5,,,,,
2.576923077,0,2.516129032,,,,,
2.603773585,0,2.531914894,,,,,
2.62962963,0.2,2.547368421,,,,,
